#MJD,index_lag_1,index_lag_2,index_lag_3,index_lag_4,index_lag_5,index_lag_6,index_rolling_mean_7,index_rolling_std_7,flux_lag_1,flux_lag_2,flux_lag_3,flux_lag_4,flux_lag_5,flux_lag_6,flux_rolling_mean_7,flux_rolling_std_7
57493.49996527778,3.15,2.69,2.36,2.26,2.25,3.85,2.75,0.58,-7.092051478387727,-7.097453220686009,-6.966576244513051,-6.920818753952375,-7.0,-6.97061622231479,-7.01,0.07
57514.49996527778,2.68,3.15,2.69,2.36,2.26,2.25,2.76,0.6,-7.013228265733755,-7.092051478387727,-7.097453220686009,-6.966576244513051,-6.920818753952375,-7.0,-7.02,0.07
57962.4999537037,3.92,2.68,3.15,2.69,2.36,2.26,2.94,0.62,-7.064492734175287,-7.013228265733755,-7.092051478387727,-7.097453220686009,-6.966576244513051,-6.920818753952375,-7.01,0.08
58067.4999537037,3.53,3.92,2.68,3.15,2.69,2.36,3.25,0.74,-6.928117992693875,-7.064492734175287,-7.013228265733755,-7.092051478387727,-7.097453220686009,-6.966576244513051,-7.01,0.09
58235.4999537037,4.41,3.53,3.92,2.68,3.15,2.69,3.47,0.66,-6.876148359032914,-6.928117992693875,-7.064492734175287,-7.013228265733755,-7.092051478387727,-7.097453220686009,-7.0,0.09
58396.4999537037,3.91,4.41,3.53,3.92,2.68,3.15,3.86,0.89,-6.939302159646388,-6.876148359032914,-6.928117992693875,-7.064492734175287,-7.013228265733755,-7.092051478387727,-7.0,0.09
58480.4999537037,5.43,3.91,4.41,3.53,3.92,2.68,3.97,0.84,-7.08196966321512,-6.939302159646388,-6.876148359032914,-6.928117992693875,-7.064492734175287,-7.013228265733755,-6.97,0.08
58816.4999537037,3.9,5.43,3.91,4.41,3.53,3.92,4.1,0.65,-6.91721462968355,-7.08196966321512,-6.939302159646388,-6.876148359032914,-6.928117992693875,-7.064492734175287,-6.95,0.09
59348.4999537037,3.59,3.9,5.43,3.91,4.41,3.53,4.08,0.66,-6.838631997765025,-6.91721462968355,-7.08196966321512,-6.939302159646388,-6.876148359032914,-6.928117992693875,-6.94,0.08
59600.4999537037,3.8,3.59,3.9,5.43,3.91,4.41,4.03,0.72,-6.987162775294828,-6.838631997765025,-6.91721462968355,-7.08196966321512,-6.939302159646388,-6.876148359032914,-6.95,0.08
60041.4999537037,3.19,3.8,3.59,3.9,5.43,3.91,3.96,0.7,-6.991399828238082,-6.987162775294828,-6.838631997765025,-6.91721462968355,-7.08196966321512,-6.939302159646388,-6.96,0.07
60181.4999537037,3.88,3.19,3.8,3.59,3.9,5.43,3.76,0.89,-6.97061622231479,-6.991399828238082,-6.987162775294828,-6.838631997765025,-6.91721462968355,-7.08196966321512,-6.98,0.08
60237.4999537037,2.52,3.88,3.19,3.8,3.59,3.9,4.41,2.51,-7.048662481204082,-6.97061622231479,-6.991399828238082,-6.987162775294828,-6.838631997765025,-6.91721462968355,-6.97,0.07
60650.4999537037,10.0,2.52,3.88,3.19,3.8,3.59,4.56,2.51,-7.044793462458058,-7.048662481204082,-6.97061622231479,-6.991399828238082,-6.987162775294828,-6.838631997765025,-6.99,0.08
60748.4999537037,4.91,10.0,2.52,3.88,3.19,3.8,4.48,2.55,-7.066006836168758,-7.044793462458058,-7.048662481204082,-6.97061622231479,-6.991399828238082,-6.987162775294828,-7.02,0.04
