#MJD,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3
56737.499976851854,1.34e-07,1.53e-07,1.45e-07,0.0,0.0,4.26,2.93,4.71,3.34,0.8
56975.499976851854,5.98e-08,1.34e-07,1.53e-07,0.0,0.0,2.84,4.26,2.93,3.24,0.89
56982.499976851854,8.42e-08,5.98e-08,1.34e-07,0.0,0.0,2.63,2.84,4.26,2.64,0.19
57017.499976851854,8.67e-08,8.42e-08,5.98e-08,0.0,0.0,2.46,2.63,2.84,3.36,1.42
57059.499976851854,9.94e-08,8.67e-08,8.42e-08,0.0,0.0,5.0,2.46,2.63,3.54,1.31
57066.499976851854,8.39e-08,9.94e-08,8.67e-08,0.0,0.0,3.15,5.0,2.46,4.07,0.93
57073.499976851854,8.15e-08,8.39e-08,9.94e-08,0.0,0.0,4.05,3.15,5.0,3.45,0.52
57108.499976851854,1.03e-07,8.15e-08,8.39e-08,0.0,0.0,3.14,4.05,3.15,3.04,1.07
57115.499976851854,9.85e-08,1.03e-07,8.15e-08,0.0,0.0,1.92,3.14,4.05,2.35,0.69
57178.499976851854,6.49e-08,9.85e-08,1.03e-07,0.0,0.0,1.98,1.92,3.14,2.32,0.64
57192.499976851854,7.47e-08,6.49e-08,9.85e-08,0.0,0.0,3.06,1.98,1.92,2.58,0.55
57199.499976851854,7.22e-08,7.47e-08,6.49e-08,0.0,0.0,2.7,3.06,1.98,2.71,0.35
57206.49996527778,8.11e-08,7.22e-08,7.47e-08,0.0,0.0,2.36,2.7,3.06,2.6,0.21
57213.49996527778,1.95e-07,8.11e-08,7.22e-08,0.0,0.0,2.74,2.36,2.7,2.47,0.24
57220.49996527778,1.44e-07,1.95e-07,8.11e-08,0.0,0.0,2.31,2.74,2.36,2.39,0.32
57227.49996527778,1.44e-07,1.44e-07,1.95e-07,0.0,0.0,2.12,2.31,2.74,2.21,0.1
57234.49996527778,2.24e-07,1.44e-07,1.44e-07,0.0,0.0,2.21,2.12,2.31,2.38,0.38
57241.49996527778,1.29e-07,2.24e-07,1.44e-07,0.0,0.0,2.81,2.21,2.12,2.54,0.31
57248.49996527778,1.45e-07,1.29e-07,2.24e-07,0.0,0.0,2.61,2.81,2.21,2.56,0.27
57255.49996527778,1.82e-07,1.45e-07,1.29e-07,0.0,0.0,2.27,2.61,2.81,2.41,0.18
